RXMLlang,639-3,639-2/T,639-2/B,RXMLxl,useflag,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00,59.00,60.00,61.00,62.00,63.00,64.00,65.00,66.00
Amharic Gofa RNT,amh,amh,amh,AmharicGofaRNTBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Gofa WWI,amh,amh,amh,AmharicGofaWWIBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic NASV,amh,amh,amh,AmharicNASVBible.xml,0.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic NST,amh,amh,amh,AmharicNSTBible.xml,0.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Tigrinya 15,tir,tir,tir,AmharicTigrinya15Bible.xml,1,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Tigrinya 2024,tir,tir,tir,AmharicTigrinya2024Bible.xml,0.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Amharic Tigrinya,tir,tir,tir,AmharicTigrinyaBible.xml,0.00,ዘፍጥረት,ዘውጣ,ዘሌዋውያን,ዘኍልቍ,ዘዳግም,ኢያሱ,ዳኛት,ሩት,1 ሳሙኤል,2 ሳሙኤል,1 ነገሥት,2 ነገሥት,1 ዜና,2 ዜና,ኤዝራ,ነህምያ,ኤስቴር,ኢዮብ,መዝሙር,ምሳሌ,መክብብ,የሰሎሞን መዝሙር,ኢሳይያስ,ኤርምያስ,ሰንቆ,ዔዝኪኤል,ዳንኤል,ሆሴዕ,ዮኤል,አሞጽ,አብድዩ,ዮናስ,ሚክያስ,ናሆም,ዕንቁ,ሶፎንያስ,ሐጌ,ዘካርያስ,ማላኪ,ማቴዎስ,ማርቆስ,ሉቃስ,ዮሐንስ,ሐዋርያት ሥራ,ሮሜ,1 ቆሮንቶስ,2 ቆሮንቶስ,ገላቲያ,ኤፌሶን,ፊሊጵስዩስ,ቆላሴ,1 ተሰሎንቄ,2 ተሰሎንቄ,1 ጢሞቴዎስ,2 ጢሞቴዎስ,ጢቶ,ፊልሞና,ዕብራውያን,ያዕቆብ,1 ጴጥሮስ,2 ጴጥሮስ,1 ዮሐንስ,2 ዮሐንስ,3 ዮሐንስ,ይሁዳ,ራእይ
Arabic  1978,ara,ara,ara,Arabic1978Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic  2016,ara,ara,ara,Arabic2016Bible.xml,1,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic  2018,ara,ara,ara,Arabic2018Bible.xml,0.00,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic  2023,ara,ara,ara,Arabic2023Bible.xml,0.00,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic APD,ara,ara,ara,ArabicAPDBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic AVD,ara,ara,ara,ArabicAVDBible.xml,0.00,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic AVDDV,ara,ara,ara,ArabicAVDDVBible.xml,0.00,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic Algeria,ara,ara,ara,ArabicAlgeriaBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic,ara,ara,ara,ArabicBible.xml,0.00,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic ERV,ara,ara,ara,ArabicERVBible.xml,0.00,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic GNA,ara,ara,ara,ArabicGNABible.xml,0.00,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic GOV,ara,ara,ara,ArabicGOVBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic LA,ara,ara,ara,ArabicLABible.xml,0.00,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic Lebanese,ara,ara,ara,ArabicLebaneseBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic Morocco 2023,ara,ara,ara,ArabicMorocco2023Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic Morocco,ara,ara,ara,ArabicMoroccoBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic SAB,ara,ara,ara,ArabicSABBible.xml,0.00,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic SA,ara,ara,ara,ArabicSABible.xml,0.00,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic SVD,ara,ara,ara,ArabicSVDBible.xml,0.00,التكوين,الخروج,اللاويين,العدد,التثنية,يشوع,القضاة,راعوث,١ صموئيل,٢ صموئيل,١ الملوك,٢ الملوك,١ أخبار الأيام,٢ أخبار الأيام,عزرا,نحميا,أستير,أيوب,المزامير,الأمثال,الجامعة,نشيد الأنشاد,إشعياء,إرميا,مراثي إرميا,حزقيال,دانيال,هوشع,يوئيل,عاموس,عوبديا,يونان,ميخا,ناحوم,حبقوق,صفنيا,حجي,زكريا,ملاخي,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic TMA,ara,ara,ara,ArabicTMABible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic TU 2022,ara,ara,ara,ArabicTU2022Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Arabic Tunisian,ara,ara,ara,ArabicTunisianBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متى,مرقس,لوقا,يوحنا,أعمال الرسل,رومية,١ كورنثوس,٢ كورنثوس,غلاطية,أفسس,فيلبي,كولوسي,١ تسالونيكي,٢ تسالونيكي,١ تيموثاوس,٢ تيموثاوس,تيطس,فليمون,العبرانيين,يعقوب,١ بطرس,٢ بطرس,١ يوحنا,٢ يوحنا,٣ يوحنا,يهوذا,الرؤيا
Aramaic,arc,—,—,AramaicBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ܡܬܝ (Matay),ܡܪܩܘܣ (Marqus),ܠܘܩܐ (Luqa),ܝܘܚܢܢ (Yuḥanan),ܥܒܕܐ ܕܫܠܝܚܐ (ʿAbde d’Shliḥe),ܪܘܡܝܐ (Romaya),ܩܘܪܢܬܝܐ ܩܕܡܝܐ (Qorintaya Qadmaya),ܩܘܪܢܬܝܐ ܬܪܝܢܐ (Qorintaya Trenya),ܓܠܛܝܐ (Galatya),ܐܦܣܝܐ (Efsya),ܦܝܠܝܦܝܐ (Filipya),ܩܘܠܘܣܝܐ (Qolosya),ܬܣܠܘܢܝܩܐ ܩܕܡܝܐ (Tesloniqa Qadmaya),ܬܣܠܘܢܝܩܐ ܬܪܝܢܐ (Tesloniqa Trenya),ܛܝܡܬܐܘܣ ܩܕܡܝܐ (Timtaos Qadmaya),ܛܝܡܬܐܘܣ ܬܪܝܢܐ (Timtaos Trenya),ܛܝܛܘܣ (Titos),ܦܝܠܝܡܘܢ (Filemon),ܥܒܪܝܐ (ʿEbraya),ܝܥܩܘܒ (Yaʿqub),ܟܐܦܐ ܩܕܡܝܐ (Kefa Qadmaya),ܟܐܦܐ ܬܪܝܢܐ (Kefa Trenya),ܝܘܚܢܢ ܩܕܡܝܐ (Yuḥanan Qadmaya),ܝܘܚܢܢ ܬܪܝܢܐ (Yuḥanan Trenya),ܝܘܚܢܢ ܬܠܝܬܝܐ (Yuḥanan Tlithaya),ܝܗܘܕܐ (Yehuda),ܓܠܝܢܐ (Gelyana)
Armenian  1853,hye,hye,arm,Armenian1853Bible.xml,1,Ծննդոց,Ելք,Ղևտական,Թվեր,Կրկնություն Օրենքի,Հեսու,Դատավորներ,Ռութ,Ա Թագավորաց,Բ Թագավորաց,Ա Թագավորներ,Բ Թագավորներ,Ա Մնացորդաց,Բ Մնացորդաց,Եզրաս,Նեեմիա,Էսթեր,Հոբ,Սաղմոսներ,Առակներ,Ժողովող,Երգ Երգոց,Եսայիա,Երեմիա,Ողբեր,Եզեկիել,Դանիել,Օսեե,Յովել,Ամոս,Ավդիա,Յոնա,Միքեա,Նահում,Ամբակում,Սոփոնիա,Ագգեոս,Զաքարիա,Մաղաքիա,Մատթեոս,Մարկոս,Ղուկաս,Յովհաննես,Գործք Առաքելոց,Հռոմայեցիս,Ա Կորնթացիս,Բ Կորնթացիս,Գաղատացիս,Եփեսացիս,Փիլիպպեցիս,Կողոսացիս,Ա Թեսաղոնիկեցիս,Բ Թեսաղոնիկեցիս,Ա Տիմոթեոս,Բ Տիմոթեոս,Տիտոս,Փիլիմոն,Եբրայեցիս,Յակոբոս,Ա Պետրոս,Բ Պետրոս,Ա Յովհաննես,Բ Յովհաննես,Գ Յովհաննես,Հուդա,Յայտնություն
